目标标识,平台代码,店铺ID,店铺名称,品牌名,通用名,目标状态,选择原因,店铺主页
taobao|W00001|依伦平,taobao,W00001,阿里健康大药房,依伦平,厄贝沙坦氢氯噻嗪片,enabled,store_driven_test_target,
taobao|W00001|优立维,taobao,W00001,阿里健康大药房,优立维,硫酸氢氯吡格雷片,enabled,store_driven_test_target,
taobao|W00038|托妥,taobao,W00038,阜胜堂医药专营店,托妥,瑞舒伐他汀钙片,enabled,store_driven_test_target,
yaoshibang|W00010|葛泰,yaoshibang,W00010,云天下,葛泰,地奥司明片,enabled,store_driven_test_target,
yaoshibang|W00019|优立维,yaoshibang,W00019,扶正药局,优立维,硫酸氢氯吡格雷片,enabled,store_driven_test_target,
yaoshibang|W06410|依伦平,yaoshibang,W06410,敬一堂,依伦平,厄贝沙坦氢氯噻嗪片,enabled,store_driven_test_target,
yaoshibang|W06410|托妥,yaoshibang,W06410,敬一堂,托妥,瑞舒伐他汀钙片,enabled,store_driven_test_target,
taobao|W00001|托妥|technical_closed_loop_fixture,taobao,W00001,阿里健康大药房,托妥,瑞舒伐他汀钙片,enabled,technical_closed_loop_fixture,https://shop163215406.taobao.com/
