档案店铺ID,档案店铺名称,实际店铺名称,平台店铺ID,店铺主页链接,获取方法,店铺内搜索商品数
W00001,阿里健康大药房,,163215406,https://shop163215406.taobao.com/,browser_find,0
W00003,依伦平旗舰店,依伦平旗舰店,405070601,https://shop405070601.taobao.com/,browser_find,10
W04566,上元堂大药房旗舰店,上元堂大药房旗舰店,71084247,https://shop71084247.taobao.com/,browser_find,10
