id,run_id,drug_id,platform,query,search_rank,product_id,shop_name,url,title,list_price_raw,candidate_type,sku_verification_status,responsibility_match_status,is_formal_price,reason,raw,discovered_at
40804de2-a6f6-4b21-b7a3-41a40455a289,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,5,1067586164493,友和之家大药房旗舰店,https://item.taobao.com/item.htm?id=1067586164493,新托妥 10mg*24片/盒 瑞舒伐他汀钙片,¥19.6,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""item_id"": ""1067586164493"", ""location"": ""广东深圳"", ""price"": ""¥19.6"", ""rank"": 5, ""sales"": ""0人付款"", ""shop"": ""友和之家大药房旗舰店"", ""title"": ""新托妥 10mg*24片/盒 瑞舒伐他汀钙片"", ""url"": ""https://item.taobao.com/item.htm?id=1067586164493""}",2026-07-20 09:51:18.652555
f2df8f45-6ab1-48c1-a201-d83844d7b445,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,1,613550172973,泉源堂大药房旗舰店,https://item.taobao.com/item.htm?id=613550172973,正大天晴 10mg*28片/盒 瑞舒伐他汀钙片,¥18.5,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""item_id"": ""613550172973"", ""location"": ""四川成都"", ""price"": ""¥18.5"", ""rank"": 1, ""sales"": ""78人付款"", ""shop"": ""泉源堂大药房旗舰店"", ""title"": ""正大天晴 10mg*28片/盒 瑞舒伐他汀钙片"", ""url"": ""https://item.taobao.com/item.htm?id=613550172973""}",2026-07-20 09:51:18.652541
98ea2d5c-0f03-41e6-b660-735db3997724,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,3,618203002365,阿里健康大药房,https://item.taobao.com/item.htm?id=618203002365,新托妥 10mg*14片/盒 瑞舒伐他汀钙片,¥10.9,known_non_fixed_store,pending_detail_verification,matched,False,责任档案已有但未纳入固定线,"{""item_id"": ""618203002365"", ""location"": ""江苏苏州"", ""price"": ""¥10.9"", ""rank"": 3, ""sales"": ""400+人付款"", ""shop"": ""买过的店阿里健康大药房"", ""title"": ""新托妥 10mg*14片/盒 瑞舒伐他汀钙片"", ""url"": ""https://item.taobao.com/item.htm?id=618203002365""}",2026-07-20 09:51:18.652551
f3af4b0b-8087-42e4-ac68-f2342c7ed695,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,2,648878452873,阿里健康大药房,https://item.taobao.com/item.htm?id=648878452873,新托妥 10mg*28片/盒 瑞舒伐他汀钙片,¥20.93,known_non_fixed_store,pending_detail_verification,matched,False,责任档案已有但未纳入固定线,"{""item_id"": ""648878452873"", ""location"": ""江苏苏州"", ""price"": ""¥20.93"", ""rank"": 2, ""sales"": ""1万+人付款"", ""shop"": ""买过的店阿里健康大药房"", ""title"": ""新托妥 10mg*28片/盒 瑞舒伐他汀钙片"", ""url"": ""https://item.taobao.com/item.htm?id=648878452873""}",2026-07-20 09:51:18.652548
f899145e-cc19-4150-a597-d173082666ee,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥,1,975079107364,百年传徽医药专营店,https://item.taobao.com/item.htm?id=975079107364,,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 09:38:57.696784
ba926d61-019e-4067-8a60-13d9ac5eef6d,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥,3,975178814032,百年传徽医药专营店,https://item.taobao.com/item.htm?id=975178814032,,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 09:38:57.696789
f663964b-d3eb-4440-945c-d54f1860fd62,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥,5,976313221434,百年传徽医药专营店,https://item.taobao.com/item.htm?id=976313221434,,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 09:38:57.696791
ca0c842c-dd40-497a-a0eb-a5c4506df1e5,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥,7,976339305569,百年传徽医药专营店,https://item.taobao.com/item.htm?id=976339305569,,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 09:38:57.696793
e2110dad-4524-44a7-aea8-74e9174e8447,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥,9,977788393548,百年传徽医药专营店,https://item.taobao.com/item.htm?id=977788393548,,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 09:38:57.696796
7a62cc40-088b-48e7-acb2-cc9c00799b9d,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥,11,980699672780,百年传徽医药专营店,https://item.taobao.com/item.htm?id=980699672780,,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 09:38:57.696798
