记录ID,采集批次ID,任务ID,监控目标ID,采集通道,采集时间,最终链接,页面标题,页面店铺,页面规格,页面原始价格,页面价格,销售盒数,每盒最小单位数,最小单位,单盒价格,单最小单位价格,控价,比较价格,破价金额,采集状态,计算状态,价格状态,错误代码,错误详情,证据目录,证据哈希,采集器版本,原始证据
b6932b7b-a1b1-4193-a472-6774a3c1c33b,e20448a8-be8f-4c98-92c2-fee054ec3161,4be9663e-b2d1-4a58-a1f5-9ceedfdb88a2,,search,2026-07-20 11:06:38.263108,,,,,,,,,,,,,,,success,not_applicable,not_evaluated,,,/Users/helson/coding/cttq_work/数字员工drugget/evidence/e20448a8-be8f-4c98-92c2-fee054ec3161/4be9663e-b2d1-4a58-a1f5-9ceedfdb88a2,f3e393889a34b5117c1059c3b0dc692cc3fa01dd474aca6af647094b60e56829,opencli-1.8.6,"{""query"": ""葛泰 地奥司明片"", ""hits"": [{""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 1, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650"", ""product_id"": ""840884379"", ""shop_name"": ""药实在"", ""list_price_raw"": ""16.17"", ""raw"": {""rank"": 1, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""16.17"", ""spec"": ""0.45g*20片"", ""shop"": ""药实在"", ""wholesale_id"": ""840884379"", ""provider_id"": ""18650"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""4835"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 2, ""title"": ""11盒包邮 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=851072544&providerId=4788"", ""product_id"": ""851072544"", ""shop_name"": ""药店品种预约中心"", ""list_price_raw"": ""19.90"", ""raw"": {""rank"": 2, ""title"": ""11盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.90"", ""spec"": ""0.45g*24片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""851072544"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=851072544&providerId=4788""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 3, ""title"": ""10盒起购 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1280738027&providerId=3661"", ""product_id"": ""1280738027"", ""shop_name"": ""温馨购"", ""list_price_raw"": ""19.80"", ""raw"": {""rank"": 3, ""title"": ""10盒起购 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.80"", ""spec"": ""0.45g*24片"", ""shop"": ""温馨购"", ""wholesale_id"": ""1280738027"", ""provider_id"": ""3661"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1280738027&providerId=3661""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 4, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*20片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1143063614&providerId=14387"", ""product_id"": ""1143063614"", ""shop_name"": ""放心采"", ""list_price_raw"": ""16.50"", ""raw"": {""rank"": 4, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""16.50"", ""spec"": ""0.45g*20片"", ""shop"": ""放心采"", ""wholesale_id"": ""1143063614"", ""provider_id"": ""14387"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""50"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1143063614&providerId=14387""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 5, ""title"": ""20盒起购 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1176211904&providerId=5214"", ""product_id"": ""1176211904"", ""shop_name"": ""万药仓"", ""list_price_raw"": ""19.80"", ""raw"": {""rank"": 5, ""title"": ""20盒起购 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.80"", ""spec"": ""0.45g*24片"", ""shop"": ""万药仓"", ""wholesale_id"": ""1176211904"", ""provider_id"": ""5214"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""160"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1176211904&providerId=5214""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 6, ""title"": ""1盒起购 地奥司明片0.45g*20片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=3878602&providerId=2189"", ""product_id"": ""3878602"", ""shop_name"": ""药下单"", ""list_price_raw"": ""16.80"", ""raw"": {""rank"": 6, ""title"": ""1盒起购 地奥司明片0.45g*20片"", ""price"": ""16.80"", ""spec"": ""0.45g*20片"", ""shop"": ""药下单"", ""wholesale_id"": ""3878602"", ""provider_id"": ""2189"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""400"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=3878602&providerId=2189""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 7, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1164684998&providerId=4788"", ""product_id"": ""1164684998"", ""shop_name"": ""药店品种预约中心"", ""list_price_raw"": ""19.80"", ""raw"": {""rank"": 7, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.80"", ""spec"": ""0.45g*24片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""1164684998"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""20"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1164684998&providerId=4788""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 8, ""title"": ""13盒包邮 葛泰 地奥司明片0.45g*20片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1276757958&providerId=4788"", ""product_id"": ""1276757958"", ""shop_name"": """", ""list_price_raw"": ""16.50"", ""raw"": {""rank"": 8, ""title"": ""13盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""16.50"", ""spec"": ""0.45g*20片"", ""shop"": """", ""wholesale_id"": ""1276757958"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""200"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1276757958&providerId=4788""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 9, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1182699528&providerId=13612"", ""product_id"": ""1182699528"", ""shop_name"": ""全药购旗舰店"", ""list_price_raw"": ""19.98"", ""raw"": {""rank"": 9, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.98"", ""spec"": ""0.45g*24片"", ""shop"": ""全药购旗舰店"", ""wholesale_id"": ""1182699528"", ""provider_id"": ""13612"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1182699528&providerId=13612""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 10, ""title"": ""1盒起购 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=8256942&providerId=3406"", ""product_id"": ""8256942"", ""shop_name"": ""药通宝丹桂园"", ""list_price_raw"": ""20.90"", ""raw"": {""rank"": 10, ""title"": ""1盒起购 地奥司明片0.45g*24片"", ""price"": ""20.90"", ""spec"": ""0.45g*24片"", ""shop"": ""药通宝丹桂园"", ""wholesale_id"": ""8256942"", ""provider_id"": ""3406"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""53"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=8256942&providerId=3406""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 11, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=921769408&providerId=18650"", ""product_id"": ""921769408"", ""shop_name"": ""药实在"", ""list_price_raw"": ""20.79"", ""raw"": {""rank"": 11, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""20.79"", ""spec"": ""0.45g*24片"", ""shop"": ""药实在"", ""wholesale_id"": ""921769408"", ""provider_id"": ""18650"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""1461"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=921769408&providerId=18650""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 12, ""title"": ""1盒起购 南京正大 地奥司明片 0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=4475785&providerId=1964"", ""product_id"": ""4475785"", ""shop_name"": ""药好多旗舰店"", ""list_price_raw"": ""20.19"", ""raw"": {""rank"": 12, ""title"": ""1盒起购 南京正大 地奥司明片 0.45g*24片"", ""price"": ""20.19"", ""spec"": ""0.45g*24片"", ""shop"": ""药好多旗舰店"", ""wholesale_id"": ""4475785"", ""provider_id"": ""1964"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""55"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=4475785&providerId=1964""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 13, ""title"": ""10盒起购 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1296127953&providerId=7877"", ""product_id"": ""1296127953"", ""shop_name"": ""利信医药"", ""list_price_raw"": ""19.98"", ""raw"": {""rank"": 13, ""title"": ""10盒起购 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.98"", ""spec"": ""0.45g*24片"", ""shop"": ""利信医药"", ""wholesale_id"": ""1296127953"", ""provider_id"": ""7877"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1296127953&providerId=7877""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 14, ""title"": ""5盒包邮 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1266589519&providerId=5018"", ""product_id"": ""1266589519"", ""shop_name"": ""安徽天宁医药"", ""list_price_raw"": ""21.37"", ""raw"": {""rank"": 14, ""title"": ""5盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""21.37"", ""spec"": ""0.45g*24片"", ""shop"": ""安徽天宁医药"", ""wholesale_id"": ""1266589519"", ""provider_id"": ""5018"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""15"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1266589519&providerId=5018""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 15, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=315421914&providerId=4788"", ""product_id"": ""315421914"", ""shop_name"": ""药店品种预约中心"", ""list_price_raw"": ""21.00"", ""raw"": {""rank"": 15, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""21.00"", ""spec"": ""0.45g*24片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""315421914"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""50"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=315421914&providerId=4788""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 16, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1273882138&providerId=4788"", ""product_id"": ""1273882138"", ""shop_name"": ""药店品种预约中心"", ""list_price_raw"": ""18.00"", ""raw"": {""rank"": 16, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""18.00"", ""spec"": ""0.45g*20片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""1273882138"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""200"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1273882138&providerId=4788""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 17, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*20片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1295163349&providerId=4788"", ""product_id"": ""1295163349"", ""shop_name"": ""药店品种预约中心"", ""list_price_raw"": ""17.15"", ""raw"": {""rank"": 17, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""17.15"", ""spec"": ""0.45g*20片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""1295163349"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""102"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1295163349&providerId=4788""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 18, ""title"": ""1盒起购 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1265777776&providerId=3791"", ""product_id"": ""1265777776"", ""shop_name"": ""吉祥树旗舰店"", ""list_price_raw"": ""19.98"", ""raw"": {""rank"": 18, ""title"": ""1盒起购 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.98"", ""spec"": ""0.45g*24片"", ""shop"": ""吉祥树旗舰店"", ""wholesale_id"": ""1265777776"", ""provider_id"": ""3791"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1265777776&providerId=3791""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 19, ""title"": ""12盒包邮 葛泰 地奥司明片0.45g*20片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1153199674&providerId=3418"", ""product_id"": ""1153199674"", ""shop_name"": """", ""list_price_raw"": ""17.20"", ""raw"": {""rank"": 19, ""title"": ""12盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""17.20"", ""spec"": ""0.45g*20片"", ""shop"": """", ""wholesale_id"": ""1153199674"", ""provider_id"": ""3418"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""161"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1153199674&providerId=3418""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 20, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1135549283&providerId=901"", ""product_id"": ""1135549283"", ""shop_name"": ""药惠达"", ""list_price_raw"": ""21.00"", ""raw"": {""rank"": 20, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""21.00"", ""spec"": ""0.45g*24片"", ""shop"": ""药惠达"", ""wholesale_id"": ""1135549283"", ""provider_id"": ""901"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""33"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1135549283&providerId=901""}}]}"
d439de29-ff29-43cb-abf5-9f33d712038f,e20448a8-be8f-4c98-92c2-fee054ec3161,9dc48cf8-545d-4250-8a98-1c543129e235,,detail,2026-07-20 11:07:26.571712,https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650,10盒包邮 葛泰 地奥司明片0.45g*20片,药实在,0.45g*20片,16.17,16.1700,10.0000,,,,,,,,success,not_applicable,not_evaluated,,,/Users/helson/coding/cttq_work/数字员工drugget/evidence/e20448a8-be8f-4c98-92c2-fee054ec3161/9dc48cf8-545d-4250-8a98-1c543129e235,d10cb99cf18cbd54580a4be39bdbea7bf095be1fe47e16c63369ca7849af51ab,opencli-1.8.6,"{""商品名称"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""价格"": ""16.17"", ""规格"": ""0.45g*20片"", ""商品ID"": ""840884379"", ""供应商ID"": ""18650"", ""供应商名称"": ""药实在"", ""生产厂家"": ""南京正大天晴制药有限公司"", ""单位"": ""盒"", ""库存"": ""4835"", ""起购数量"": ""10"", ""有效期"": ""2029-12-31"", ""链接"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650""}"
dc08f1e7-78a9-4e21-abfe-04f7f8ff34ec,e20448a8-be8f-4c98-92c2-fee054ec3161,e8b766a4-2923-4bdd-8f40-1081e23b509d,,search,2026-07-20 11:08:12.517609,,,,,,,,,,,,,,,success,not_applicable,not_evaluated,,,/Users/helson/coding/cttq_work/数字员工drugget/evidence/e20448a8-be8f-4c98-92c2-fee054ec3161/e8b766a4-2923-4bdd-8f40-1081e23b509d,3aa73444755ce0b2317dcb13562dedd57211270efb9856738a3dc50fd802d3d6,opencli-1.8.6,"{""query"": ""葛泰 地奥司明片"", ""provider_resolution"": null, ""hits"": [{""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 1, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650"", ""product_id"": ""840884379"", ""shop_name"": ""药实在"", ""list_price_raw"": ""16.17"", ""raw"": {""rank"": 1, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""16.17"", ""spec"": ""0.45g*20片"", ""shop"": ""药实在"", ""wholesale_id"": ""840884379"", ""provider_id"": ""18650"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""4835"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650""}}, {""platform"": ""yaoshibang"", ""query"": ""葛泰 地奥司明片"", ""rank"": 11, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=921769408&providerId=18650"", ""product_id"": ""921769408"", ""shop_name"": ""药实在"", ""list_price_raw"": ""20.79"", ""raw"": {""rank"": 11, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""20.79"", ""spec"": ""0.45g*24片"", ""shop"": ""药实在"", ""wholesale_id"": ""921769408"", ""provider_id"": ""18650"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""1461"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=921769408&providerId=18650""}}]}"
