记录ID,采集批次ID,监控目标ID,平台,任务类型,状态,搜索关键词,任务载荷,浏览器会话,优先级,尝试次数,任务领取时间,任务完成时间
4be9663e-b2d1-4a58-a1f5-9ceedfdb88a2,e20448a8-be8f-4c98-92c2-fee054ec3161,,yaoshibang,search,succeeded,葛泰 地奥司明片,"{""task_id"": ""4be9663e-b2d1-4a58-a1f5-9ceedfdb88a2"", ""run_id"": ""e20448a8-be8f-4c98-92c2-fee054ec3161"", ""platform"": ""yaoshibang"", ""task_type"": ""search"", ""session_alias"": ""yaoshibang-p0"", ""target_id"": null, ""drug_name"": ""葛泰"", ""generic_name"": ""地奥司明片"", ""spec"": null, ""shop_name"": null, ""product_id"": null, ""url"": null, ""query"": ""葛泰 地奥司明片"", ""fixed_tier"": null, ""priority"": 10, ""metadata"": {""drug_id"": ""93fe971e-608a-4274-882b-422f49c87406"", ""target_brand"": ""葛泰"", ""target_spec"": null, ""inspect_limit"": 1}}",yaoshibang-p0,10,1,2026-07-20 11:06:33.075241,2026-07-20 11:06:38.275834
9dc48cf8-545d-4250-8a98-1c543129e235,e20448a8-be8f-4c98-92c2-fee054ec3161,,yaoshibang,inspect_candidate,succeeded,葛泰 地奥司明片,"{""task_id"": ""9dc48cf8-545d-4250-8a98-1c543129e235"", ""run_id"": ""e20448a8-be8f-4c98-92c2-fee054ec3161"", ""platform"": ""yaoshibang"", ""task_type"": ""inspect_candidate"", ""session_alias"": ""yaoshibang-p0"", ""target_id"": null, ""drug_name"": ""葛泰"", ""generic_name"": ""地奥司明片"", ""spec"": null, ""shop_name"": ""药实在"", ""product_id"": ""840884379"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650"", ""query"": ""葛泰 地奥司明片"", ""fixed_tier"": null, ""priority"": 110, ""metadata"": {""drug_id"": ""93fe971e-608a-4274-882b-422f49c87406"", ""target_brand"": ""葛泰"", ""target_spec"": null, ""inspect_limit"": 1, ""source_task_id"": ""4be9663e-b2d1-4a58-a1f5-9ceedfdb88a2"", ""candidate_type"": ""new_store"", ""provider_id"": ""18650""}}",yaoshibang-p0,110,1,2026-07-20 11:07:22.338160,2026-07-20 11:07:26.578511
e8b766a4-2923-4bdd-8f40-1081e23b509d,e20448a8-be8f-4c98-92c2-fee054ec3161,,yaoshibang,store_search,succeeded,葛泰 地奥司明片,"{""task_id"": ""e8b766a4-2923-4bdd-8f40-1081e23b509d"", ""run_id"": ""e20448a8-be8f-4c98-92c2-fee054ec3161"", ""platform"": ""yaoshibang"", ""task_type"": ""store_search"", ""session_alias"": ""yaoshibang-p0"", ""target_id"": null, ""drug_name"": ""葛泰"", ""generic_name"": ""地奥司明片"", ""spec"": null, ""shop_name"": ""药实在"", ""product_id"": null, ""url"": null, ""query"": ""葛泰 地奥司明片"", ""fixed_tier"": null, ""priority"": 20, ""metadata"": {""drug_id"": ""93fe971e-608a-4274-882b-422f49c87406"", ""target_brand"": ""葛泰"", ""target_spec"": null, ""provider_id"": ""18650"", ""route"": ""provider_profile"", ""source"": ""verified_global_detail""}}",yaoshibang-p0,20,1,2026-07-20 11:07:55.521553,2026-07-20 11:08:12.523405
