记录ID,采集批次ID,药品ID,平台,搜索关键词,搜索排名,商品ID,店铺名称,商品链接,商品标题,列表原始价格,候选类型,规格核验状态,责任店匹配状态,是否正式价格,判定原因,原始候选数据,发现时间
92df9370-0ba7-4779-ab86-445bdd87010d,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,3,1280738027,温馨购,https://dian.ysbang.cn/#/druginfo?wholesaleId=1280738027&providerId=3661,10盒起购 葛泰 地奥司明片0.45g*24片,19.80,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 3, ""title"": ""10盒起购 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.80"", ""spec"": ""0.45g*24片"", ""shop"": ""温馨购"", ""wholesale_id"": ""1280738027"", ""provider_id"": ""3661"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1280738027&providerId=3661""}",2026-07-20 11:06:38.274314
e351b9fb-4b4f-43d4-af83-6e6c8f61080f,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,17,1295163349,药店品种预约中心,https://dian.ysbang.cn/#/druginfo?wholesaleId=1295163349&providerId=4788,20盒包邮 葛泰 地奥司明片0.45g*20片,17.15,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 17, ""title"": ""20盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""17.15"", ""spec"": ""0.45g*20片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""1295163349"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""102"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1295163349&providerId=4788""}",2026-07-20 11:06:38.274344
92be602b-f449-44f9-8307-02ac54014e74,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,13,1296127953,利信医药,https://dian.ysbang.cn/#/druginfo?wholesaleId=1296127953&providerId=7877,10盒起购 葛泰 地奥司明片0.45g*24片,19.98,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 13, ""title"": ""10盒起购 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.98"", ""spec"": ""0.45g*24片"", ""shop"": ""利信医药"", ""wholesale_id"": ""1296127953"", ""provider_id"": ""7877"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1296127953&providerId=7877""}",2026-07-20 11:06:38.274336
47cf5515-2f68-420b-b3a5-766a5693759a,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,15,315421914,药店品种预约中心,https://dian.ysbang.cn/#/druginfo?wholesaleId=315421914&providerId=4788,10盒包邮 葛泰 地奥司明片0.45g*24片,21.00,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 15, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""21.00"", ""spec"": ""0.45g*24片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""315421914"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""50"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=315421914&providerId=4788""}",2026-07-20 11:06:38.274340
7aeff9c7-d0eb-4ca5-b772-d5c166f06cf4,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,6,3878602,药下单,https://dian.ysbang.cn/#/druginfo?wholesaleId=3878602&providerId=2189,1盒起购 地奥司明片0.45g*20片,16.80,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 6, ""title"": ""1盒起购 地奥司明片0.45g*20片"", ""price"": ""16.80"", ""spec"": ""0.45g*20片"", ""shop"": ""药下单"", ""wholesale_id"": ""3878602"", ""provider_id"": ""2189"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""400"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=3878602&providerId=2189""}",2026-07-20 11:06:38.274321
8fc3f1a1-aa38-4e8d-8e96-decd9429c2ca,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,12,4475785,药好多旗舰店,https://dian.ysbang.cn/#/druginfo?wholesaleId=4475785&providerId=1964,1盒起购 南京正大 地奥司明片 0.45g*24片,20.19,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 12, ""title"": ""1盒起购 南京正大 地奥司明片 0.45g*24片"", ""price"": ""20.19"", ""spec"": ""0.45g*24片"", ""shop"": ""药好多旗舰店"", ""wholesale_id"": ""4475785"", ""provider_id"": ""1964"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""55"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=4475785&providerId=1964""}",2026-07-20 11:06:38.274334
00e8855d-d5b4-41c6-bc7b-4e63f25623d4,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,10,8256942,药通宝丹桂园,https://dian.ysbang.cn/#/druginfo?wholesaleId=8256942&providerId=3406,1盒起购 地奥司明片0.45g*24片,20.90,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 10, ""title"": ""1盒起购 地奥司明片0.45g*24片"", ""price"": ""20.90"", ""spec"": ""0.45g*24片"", ""shop"": ""药通宝丹桂园"", ""wholesale_id"": ""8256942"", ""provider_id"": ""3406"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""53"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=8256942&providerId=3406""}",2026-07-20 11:06:38.274330
e72283c9-75a3-46a7-a251-b1153419bf55,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,1,840884379,药实在,https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650,10盒包邮 葛泰 地奥司明片0.45g*20片,16.17,new_store,verified_detail,pending_assignment,True,责任档案未匹配的新店,"{""rank"": 1, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*20片"", ""price"": ""16.17"", ""spec"": ""0.45g*20片"", ""shop"": ""药实在"", ""wholesale_id"": ""840884379"", ""provider_id"": ""18650"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""4835"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=840884379&providerId=18650""}",2026-07-20 11:06:38.274305
59b4a32e-3458-4fd9-94f3-f75a4033f6d2,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,2,851072544,药店品种预约中心,https://dian.ysbang.cn/#/druginfo?wholesaleId=851072544&providerId=4788,11盒包邮 葛泰 地奥司明片0.45g*24片,19.90,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 2, ""title"": ""11盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""19.90"", ""spec"": ""0.45g*24片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""851072544"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""30"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=851072544&providerId=4788""}",2026-07-20 11:06:38.274311
7434a80a-e13b-472e-9f7c-26ad0db7b3fb,e20448a8-be8f-4c98-92c2-fee054ec3161,93fe971e-608a-4274-882b-422f49c87406,yaoshibang,葛泰 地奥司明片,11,921769408,药实在,https://dian.ysbang.cn/#/druginfo?wholesaleId=921769408&providerId=18650,10盒包邮 葛泰 地奥司明片0.45g*24片,20.79,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 11, ""title"": ""10盒包邮 葛泰 地奥司明片0.45g*24片"", ""price"": ""20.79"", ""spec"": ""0.45g*24片"", ""shop"": ""药实在"", ""wholesale_id"": ""921769408"", ""provider_id"": ""18650"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""1461"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=921769408&providerId=18650""}",2026-07-20 11:06:38.274332
