source_file,row_number,issue_type,severity,business_key,details
趣维1-3月总数据.xlsx,448,store_unmatched,medium,https://detail.tmall.com/item.htm?id=999956261558,天猫|陇康医药专营店
趣维1-3月总数据.xlsx,450,store_unmatched,medium,https://detail.tmall.com/item.htm?id=999956261558,天猫|陇康医药专营店
趣维1-3月总数据.xlsx,471,store_unmatched,medium,https://detail.tmall.com/item.htm?id=998530906131,天猫|聚瀚堂大药房旗舰店
趣维1-3月总数据.xlsx,485,store_unmatched,medium,https://detail.tmall.com/item.htm?id=942547669960,天猫|供享药品专营店
趣维1-3月总数据.xlsx,491,store_unmatched,medium,https://detail.tmall.com/item.htm?id=995727057065,天猫|一宝堂医药专营店
趣维1-3月总数据.xlsx,512,store_unmatched,medium,https://detail.tmall.com/item.htm?id=984477224300,天猫|华鑫济仁堂大药房旗舰店
趣维1-3月总数据.xlsx,519,store_unmatched,medium,https://detail.tmall.com/item.htm?id=933136030584,天猫|福禧医药专营店
趣维1-3月总数据.xlsx,534,store_unmatched,medium,https://detail.tmall.com/item.htm?id=953200897606,天猫|延年药品专营店
趣维1-3月总数据.xlsx,540,store_unmatched,medium,https://detail.tmall.com/item.htm?id=998176764878,天猫|乐康诚医药专营店
趣维1-3月总数据.xlsx,647,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1003155162604,天猫|锦绣福徕源医药专营店
趣维1-3月总数据.xlsx,669,store_unmatched,medium,https://detail.tmall.com/item.htm?id=980936215371,天猫|百尚医药专营店
趣维1-3月总数据.xlsx,695,store_unmatched,medium,https://detail.tmall.com/item.htm?id=970154425568,天猫|古韵医药专营店
趣维1-3月总数据.xlsx,706,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1002689933503,天猫|民润药品专营店
趣维1-3月总数据.xlsx,717,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1009079218917,天猫|耀光医药专营店
趣维1-3月总数据.xlsx,721,store_unmatched,medium,https://detail.tmall.com/item.htm?id=998628543655,天猫|健速达医药专营店
趣维1-3月总数据.xlsx,737,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1011519144515,天猫|百医星医药专营店
趣维1-3月总数据.xlsx,738,store_unmatched,medium,https://detail.tmall.com/item.htm?id=999690973905,天猫|瑞仁医药专营店
趣维1-3月总数据.xlsx,745,store_unmatched,medium,https://detail.tmall.com/item.htm?id=941515256670,天猫|药圣安大药房旗舰店
趣维1-3月总数据.xlsx,770,store_unmatched,medium,https://detail.tmall.com/item.htm?id=944618690940,天猫|供享药品专营店
趣维1-3月总数据.xlsx,811,store_unmatched,medium,https://detail.tmall.com/item.htm?id=986538898110,天猫|聚瀚堂大药房旗舰店
趣维1-3月总数据.xlsx,821,store_unmatched,medium,https://detail.tmall.com/item.htm?id=996291663699,天猫|康众乐医药专营店
趣维1-3月总数据.xlsx,835,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1002555712461,天猫|保心堂医药专营店
趣维1-3月总数据.xlsx,838,store_unmatched,medium,https://detail.tmall.com/item.htm?id=979583053425,天猫|曌天龙大药房旗舰店
趣维1-3月总数据.xlsx,864,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1001048951482,天猫|启元药品专营店
趣维1-3月总数据.xlsx,880,store_unmatched,medium,https://detail.tmall.com/item.htm?id=991440181081,天猫|胜万福大药房旗舰店
趣维1-3月总数据.xlsx,890,store_unmatched,medium,https://detail.tmall.com/item.htm?id=939812904120,天猫|德信堂医药专营店
趣维1-3月总数据.xlsx,1000,store_unmatched,medium,https://detail.tmall.com/item.htm?id=856693751443,天猫|丰之林医药专营店
趣维1-3月总数据.xlsx,1023,store_unmatched,medium,https://detail.tmall.com/item.htm?id=981514109155,天猫|百尚医药专营店
趣维1-3月总数据.xlsx,1029,store_unmatched,medium,https://detail.tmall.com/item.htm?id=947962833678,天猫|健修堂医药专营店
趣维1-3月总数据.xlsx,1047,store_unmatched,medium,https://detail.tmall.com/item.htm?id=934129698390,天猫|福禧医药专营店
趣维1-3月总数据.xlsx,1069,store_unmatched,medium,https://detail.tmall.com/item.htm?id=985095731200,天猫|天顺康药品专营店
趣维1-3月总数据.xlsx,1123,store_unmatched,medium,https://detail.tmall.com/item.htm?id=942844710430,天猫|治胜法宝医药专营店
趣维1-3月总数据.xlsx,1128,store_unmatched,medium,https://detail.tmall.com/item.htm?id=964746207105,天猫|济无忧医药专营店
趣维1-3月总数据.xlsx,1132,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1012379427089,天猫|海康医药专营店
趣维1-3月总数据.xlsx,1142,store_unmatched,medium,https://detail.tmall.com/item.htm?id=970238717303,天猫|济无忧医药专营店
趣维1-3月总数据.xlsx,1212,store_unmatched,medium,https://detail.tmall.com/item.htm?id=998634803829,天猫|健速达医药专营店
趣维1-3月总数据.xlsx,1214,store_unmatched,medium,https://detail.tmall.com/item.htm?id=960701964579,天猫|广信医药专营店
趣维1-3月总数据.xlsx,1239,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1009882389534,天猫|儒济堂医药专营店
趣维1-3月总数据.xlsx,1268,store_unmatched,medium,https://detail.tmall.com/item.htm?id=989320913188,天猫|好容医大药房旗舰店
趣维1-3月总数据.xlsx,1275,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1007118698256,天猫|宝康隆熙大药房旗舰店
趣维1-3月总数据.xlsx,1401,store_unmatched,medium,https://detail.tmall.com/item.htm?id=998761551385,天猫|瑞仁医药专营店
趣维1-3月总数据.xlsx,1416,store_unmatched,medium,https://detail.tmall.com/item.htm?id=933121398589,天猫|福禧医药专营店
趣维1-3月总数据.xlsx,1423,store_unmatched,medium,https://detail.tmall.com/item.htm?id=915819311362,天猫|郁强大药房旗舰
趣维1-3月总数据.xlsx,1464,store_unmatched,medium,https://detail.tmall.com/item.htm?id=1001138785180,天猫|瑞芸医药专营店
趣维1-3月总数据.xlsx,1469,store_unmatched,medium,https://detail.tmall.com/item.htm?id=988030635146,天猫|聚瀚堂大药房旗舰店
趣维1-3月总数据.xlsx,1477,store_unmatched,medium,https://detail.tmall.com/item.htm?id=977236126016,天猫|百尚医药专营店
趣维1-3月总数据.xlsx,1496,store_unmatched,medium,https://detail.tmall.com/item.htm?id=973759089513,天猫|医倍宁药品专营店
趣维1-3月总数据.xlsx,1530,store_unmatched,medium,https://detail.tmall.com/item.htm?id=949844962011,天猫|同晟药品专营店
趣维1-3月总数据.xlsx,1538,store_unmatched,medium,https://detail.tmall.com/item.htm?id=994904731921,天猫|知合医药专营店
趣维1-3月总数据.xlsx,1550,store_unmatched,medium,https://detail.tmall.com/item.htm?id=997709021554,天猫|好诚医药专营店
趣维1-3月总数据.xlsx,1709,store_unmatched,medium,https://detail.tmall.com/item.htm?id=984829051821,天猫|蜜福康大药房旗舰店
趣维1-3月总数据.xlsx,1728,store_unmatched,medium,https://detail.tmall.com/item.htm?id=931799070833,天猫|福禧医药专营店
趣维1-3月总数据.xlsx,1771,store_unmatched,medium,http://p0.meituan.net/healthproductabilitypicture/99fcf24066e27354f05d5e77f5d1cfde392237.png,美团|美团官方补贴
趣维1-3月总数据.xlsx,1773,store_unmatched,medium,http://p0.meituan.net/healthproductabilitypicture/99fcf24066e27354f05d5e77f5d1cfde392237.png,美团|美团官方补贴
趣维1-3月总数据.xlsx,1778,store_unmatched,medium,http://p0.meituan.net/healthproductabilitypicture/99fcf24066e27354f05d5e77f5d1cfde392237.png,美团|美团官方补贴
趣维1-3月总数据.xlsx,1790,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|康师葆大药房旗舰店
