记录ID,采集批次ID,监控目标ID,平台,任务类型,状态,搜索关键词,任务载荷,浏览器会话,优先级,尝试次数,任务领取时间,任务完成时间
47910fab-50d9-4306-92b7-5a949204e90d,39f27cc3-aebb-4fb4-9c9d-71b33d582ea9,,taobao,store_search,succeeded,托妥 瑞舒伐他汀钙片,"{""task_id"": ""47910fab-50d9-4306-92b7-5a949204e90d"", ""run_id"": ""39f27cc3-aebb-4fb4-9c9d-71b33d582ea9"", ""platform"": ""taobao"", ""task_type"": ""store_search"", ""session_alias"": ""taobao-p0"", ""target_id"": null, ""drug_name"": ""托妥"", ""generic_name"": ""瑞舒伐他汀钙片"", ""spec"": null, ""shop_name"": ""阿里健康大药房"", ""product_id"": null, ""url"": null, ""query"": ""托妥 瑞舒伐他汀钙片"", ""fixed_tier"": null, ""priority"": 10, ""metadata"": {""drug_id"": ""1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9"", ""target_brand"": ""托妥"", ""route"": ""shop_home"", ""shop_home_url"": ""https://shop163215406.taobao.com/"", ""platform_store_key"": ""163215406"", ""homepage_discovery"": {""shop_home_url"": ""https://shop163215406.taobao.com/"", ""platform_store_key"": ""163215406"", ""source"": ""technical_closed_loop_fixture""}, ""inspect_limit"": 1, ""selection_reason"": ""technical_closed_loop_fixture""}}",taobao-p0,10,1,2026-07-20 13:19:48.978644,2026-07-20 13:20:00.613554
98e5d3bc-e0bf-46fc-8fef-3bcadebfdd38,39f27cc3-aebb-4fb4-9c9d-71b33d582ea9,,taobao,inspect_candidate,human_required,托妥 瑞舒伐他汀钙片,"{""task_id"": ""98e5d3bc-e0bf-46fc-8fef-3bcadebfdd38"", ""run_id"": ""39f27cc3-aebb-4fb4-9c9d-71b33d582ea9"", ""platform"": ""taobao"", ""task_type"": ""inspect_candidate"", ""session_alias"": ""taobao-p0"", ""target_id"": null, ""drug_name"": ""托妥"", ""generic_name"": ""瑞舒伐他汀钙片"", ""spec"": null, ""shop_name"": ""阿里健康大药房"", ""product_id"": ""730730569342"", ""url"": ""https://item.taobao.com/item.htm?id=730730569342"", ""query"": ""托妥 瑞舒伐他汀钙片"", ""fixed_tier"": null, ""priority"": 110, ""metadata"": {""drug_id"": ""1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9"", ""target_brand"": ""托妥"", ""route"": ""shop_home"", ""shop_home_url"": ""https://shop163215406.taobao.com/"", ""platform_store_key"": ""163215406"", ""homepage_discovery"": {""shop_home_url"": ""https://shop163215406.taobao.com/"", ""platform_store_key"": ""163215406"", ""source"": ""technical_closed_loop_fixture""}, ""inspect_limit"": 1, ""selection_reason"": ""technical_closed_loop_fixture"", ""source_task_id"": ""47910fab-50d9-4306-92b7-5a949204e90d"", ""candidate_type"": ""new_store"", ""candidate_product_id"": ""730730569342""}}",taobao-p0,110,1,2026-07-20 13:20:40.822355,2026-07-20 13:20:44.928902
